Year,Combination,Score,Frequency
2022,A00,5.1,1
2022,A00,5.4,1
2022,A00,5.5,1
2022,A00,5.55,1
2022,A00,5.75,1
2022,A00,5.8,1
2022,A00,5.9,2
2022,A00,6.0,1
2022,A00,6.05,2
2022,A00,6.2,1
2022,A00,6.25,4
2022,A00,6.3,1
2022,A00,6.35,1
2022,A00,6.4,1
2022,A00,6.45,1
2022,A00,6.5,1
2022,A00,6.6,3
2022,A00,6.7,2
2022,A00,6.75,5
2022,A00,6.8,2
2022,A00,6.85,3
2022,A00,6.9,2
2022,A00,6.95,5
2022,A00,7.0,3
2022,A00,7.05,5
2022,A00,7.1,4
2022,A00,7.15,3
2022,A00,7.2,5
2022,A00,7.25,4
2022,A00,7.3,5
2022,A00,7.35,8
2022,A00,7.4,2
2022,A00,7.45,7
2022,A00,7.5,5
2022,A00,7.55,9
2022,A00,7.6,6
2022,A00,7.65,7
2022,A00,7.7,9
2022,A00,7.75,6
2022,A00,7.8,7
2022,A00,7.85,6
2022,A00,7.9,12
2022,A00,7.95,10
2022,A00,8.0,7
2022,A00,8.05,7
2022,A00,8.1,7
2022,A00,8.15,6
2022,A00,8.2,7
2022,A00,8.25,4
2022,A00,8.3,13
2022,A00,8.35,7
2022,A00,8.4,5
2022,A00,8.45,13
2022,A00,8.5,8
2022,A00,8.55,19
2022,A00,8.6,14
2022,A00,8.65,13
2022,A00,8.7,11
2022,A00,8.75,10
2022,A00,8.8,3
2022,A00,8.85,12
2022,A00,8.9,15
2022,A00,8.95,8
2022,A00,9.0,14
2022,A00,9.05,14
2022,A00,9.1,18
2022,A00,9.15,18
2022,A00,9.2,15
2022,A00,9.25,21
2022,A00,9.3,21
2022,A00,9.35,23
2022,A00,9.4,17
2022,A00,9.45,16
2022,A00,9.5,27
2022,A00,9.55,25
2022,A00,9.6,22
2022,A00,9.65,19
2022,A00,9.7,13
2022,A00,9.75,17
2022,A00,9.8,24
2022,A00,9.85,21
2022,A00,9.9,20
2022,A00,9.95,30
2022,A00,10.0,22
2022,A00,10.05,29
2022,A00,10.1,25
2022,A00,10.15,31
2022,A00,10.2,23
2022,A00,10.25,30
2022,A00,10.3,34
2022,A00,10.35,30
2022,A00,10.4,28
2022,A00,10.45,23
2022,A00,10.5,40
2022,A00,10.55,34
2022,A00,10.6,42
2022,A00,10.65,45
2022,A00,10.7,31
2022,A00,10.75,34
2022,A00,10.8,40
2022,A00,10.85,40
2022,A00,10.9,45
2022,A00,10.95,41
2022,A00,11.0,49
2022,A00,11.05,37
2022,A00,11.1,63
2022,A00,11.15,64
2022,A00,11.2,46
2022,A00,11.25,58
2022,A00,11.3,56
2022,A00,11.35,60
2022,A00,11.4,78
2022,A00,11.45,65
2022,A00,11.5,66
2022,A00,11.55,65
2022,A00,11.6,67
2022,A00,11.65,71
2022,A00,11.7,84
2022,A00,11.75,92
2022,A00,11.8,81
2022,A00,11.85,79
