Year,Subject,Score,Frequency
2022,dia_li,0.0,21
2022,dia_li,0.25,3
2022,dia_li,0.5,3
2022,dia_li,0.75,7
2022,dia_li,1.0,4
2022,dia_li,1.25,10
2022,dia_li,1.5,36
2022,dia_li,1.75,75
2022,dia_li,2.0,135
2022,dia_li,2.25,210
2022,dia_li,2.5,405
2022,dia_li,2.75,610
2022,dia_li,3.0,867
2022,dia_li,3.25,1413
2022,dia_li,3.5,2194
2022,dia_li,3.75,3350
2022,dia_li,4.0,5062
2022,dia_li,4.25,7546
2022,dia_li,4.5,10907
2022,dia_li,4.75,15127
2022,dia_li,5.0,20364
2022,dia_li,5.25,26111
2022,dia_li,5.5,32256
2022,dia_li,5.75,38481
2022,dia_li,6.0,44464
2022,dia_li,6.25,48253
2022,dia_li,6.5,50888
2022,dia_li,6.75,52272
2022,dia_li,7.0,52448
2022,dia_li,7.25,49164
2022,dia_li,7.5,45213
2022,dia_li,7.75,39556
2022,dia_li,8.0,33014
2022,dia_li,8.25,26025
2022,dia_li,8.5,19697
2022,dia_li,8.75,13878
2022,dia_li,9.0,8784
2022,dia_li,9.25,5223
2022,dia_li,9.5,2394
2022,dia_li,9.75,788
2022,dia_li,10.0,163
2022,gdcd,0.0,25
2022,gdcd,1.0,3
2022,gdcd,1.25,4
2022,gdcd,1.5,8
2022,gdcd,1.75,23
2022,gdcd,2.0,31
2022,gdcd,2.25,36
2022,gdcd,2.5,61
2022,gdcd,2.75,90
2022,gdcd,3.0,153
2022,gdcd,3.25,227
2022,gdcd,3.5,270
2022,gdcd,3.75,395
2022,gdcd,4.0,613
2022,gdcd,4.25,830
2022,gdcd,4.5,1216
2022,gdcd,4.75,1736
2022,gdcd,5.0,2417
2022,gdcd,5.25,3237
2022,gdcd,5.5,4531
2022,gdcd,5.75,6331
2022,gdcd,6.0,8240
2022,gdcd,6.25,11174
2022,gdcd,6.5,14814
2022,gdcd,6.75,19062
2022,gdcd,7.0,24029
2022,gdcd,7.25,30504
2022,gdcd,7.5,37262
2022,gdcd,7.75,44159
2022,gdcd,8.0,50854
2022,gdcd,8.25,55320
2022,gdcd,8.5,57508
2022,gdcd,8.75,55193
